model,dataset,pretraining length,ImageNet accuracy,freeze encoder,pretraining scheme,seed,accuracy,balanced accuracy,sensitivity,specificity,precision,dice index,jaccard index,mcc,modified hausdorff distance,area under roc,average precision score,mean dice index,mean jaccard index
ResNet50 Attention U-Net,ACDC,20,0.3,False,simple,123126,0.99469008495301,,,,,,,,3.356792420376797,0.9976464353439964,0.9629847196535748,0.904634874352225,0.8275978831931546
ResNet50 Attention U-Net,ACDC,20,0.3,False,simple,123127,0.994690788795188,,,,,,,,3.3795918432001293,0.9984384448543135,0.9639803729433156,0.9051752856323452,0.8284735574923964
ResNet50 Attention U-Net,ACDC,20,0.3,False,simple,123128,0.994835780283884,,,,,,,,3.397834598350754,0.9987978651798048,0.9662297127292409,0.90673271926739,0.8309860500800911
ResNet50 Attention U-Net,ACDC,20,0.3,True,simple,123124,0.9944252921167304,,,,,,,,3.860547571525336,0.9987586935219084,0.9616314972112336,0.9005087817440837,0.8206414700000306
ResNet50 Attention U-Net,ACDC,20,0.3,True,simple,123125,0.9944877303267962,,,,,,,,3.864123919229189,0.99884156208381,0.96131668501909,0.9015674078136288,0.8224552095181945
ResNet50 Attention U-Net,ACDC,20,0.3,True,simple,123126,0.994512531502494,,,,,,,,3.610623533446851,0.9987645880290074,0.9621674448163812,0.9023893392251966,0.8236608945895257
ResNet50 Attention U-Net,ACDC,20,0.3,True,simple,123127,0.9943140850525852,,,,,,,,3.480176083993468,0.9981007160938103,0.959028979864846,0.8984385794229537,0.817357655673329
ResNet50 Attention U-Net,ACDC,20,0.3,True,simple,123128,0.9943938970511532,,,,,,,,3.697459047735143,0.9989475578405532,0.9620250699446156,0.9007485240585366,0.8210230261050793
ResNet50 Attention U-Net,ACDC,50,0.536,False,simple,123124,0.9946543001349006,,,,,,,,3.544692511819807,0.9970421881257788,0.9614173219467428,0.904105867745692,0.826785863708612
ResNet50 Attention U-Net,ACDC,50,0.536,False,simple,123125,0.9948070709318813,,,,,,,,3.2173933490522164,0.9976173769449184,0.965008707533044,0.9055892949543728,0.8291238453371688
ResNet50 Attention U-Net,ACDC,50,0.536,False,simple,123126,0.9945552806537346,,,,,,,,3.195576311632502,0.9969132077356452,0.9614238977406854,0.902968354605869,0.8249753352737207
ResNet50 Attention U-Net,ACDC,50,0.536,False,simple,123127,0.9945967517757568,,,,,,,,3.388974564342357,0.9975987136368004,0.961624734522699,0.9028379329953444,0.8246273342999338
ResNet50 Attention U-Net,ACDC,50,0.536,False,simple,123128,0.9946439832903422,,,,,,,,3.477320841292011,0.9982505043123284,0.9630655420697046,0.9041495088101028,0.8267618306318266
ResNet50 Attention U-Net,ACDC,50,0.536,True,simple,123124,0.9946015490158656,,,,,,,,3.5471772340547734,0.9983607468063932,0.9637251068338596,0.9033911451340184,0.8253876527899334
ResNet50 Attention U-Net,ACDC,50,0.536,True,simple,123125,0.9946377042772266,,,,,,,,3.6928681589870194,0.998773753723165,0.9642798639613988,0.9040000599539798,0.8265027551772252
ResNet50 Attention U-Net,ACDC,50,0.536,True,simple,123126,0.9946565598387356,,,,,,,,3.150694476362096,0.9986669120623698,0.9638711520694664,0.9043014295178288,0.8270240818190757
ResNet50 Attention U-Net,ACDC,50,0.536,True,simple,123127,0.9944829330866872,,,,,,,,3.497868144722668,0.9978424795228548,0.9608360941966544,0.90109371357764,0.8217065063956537
ResNet50 Attention U-Net,ACDC,50,0.536,True,simple,123128,0.994364317157509,,,,,,,,3.4158265361403,0.9984962881944268,0.962561900249622,0.9003582542645261,0.8202732863982366
ResNet50 Attention U-Net,ACDC,100,0.58,False,simple,123124,0.9947473554797152,,,,,,,,3.1780096112768947,0.9984371402763402,0.964698159385412,0.9048167263495828,0.8279714460443895
ResNet50 Attention U-Net,ACDC,100,0.58,False,simple,123125,0.9947372609011076,,,,,,,,3.237554898697153,0.9986702950846058,0.9640297713692744,0.90496378910681,0.8281534299086838
ResNet50 Attention U-Net,ACDC,100,0.58,False,simple,123126,0.994595010692474,,,,,,,,2.996409079556891,0.9978447137159198,0.9620300307034244,0.9029399530545636,0.8248241838515139
ResNet50 Attention U-Net,ACDC,100,0.58,False,simple,123127,0.9946530221056824,,,,,,,,3.450067434899434,0.9979701694423404,0.962292812867099,0.9033206827845858,0.8254148356394627
